words,sentence_id,labels
Antihypertensive,0,O
drugs,0,O
and,0,O
depression,0,B-Disease
:,0,O
a,0,O
reappraisal,0,O
.,0,O
Eighty-nine,1,O
new,1,O
referral,1,O
hypertensive,1,B-Disease
out-patients,1,O
and,1,O
46,1,O
new,1,O
referral,1,O
non-hypertensive,1,O
chronically,1,O
physically,1,O
ill,1,O
out-patients,1,O
completed,1,O
a,1,O
mood,1,O
rating,1,O
scale,1,O
at,1,O
regular,1,O
intervals,1,O
for,1,O
one,1,O
year,1,O
.,1,O
The,2,O
results,2,O
showed,2,O
a,2,O
high,2,O
prevalence,2,O
of,2,O
depression,2,B-Disease
in,2,O
both,2,O
groups,2,O
of,2,O
patients,2,O
",",2,O
with,2,O
no,2,O
preponderance,2,O
in,2,O
the,2,O
hypertensive,2,B-Disease
group,2,O
.,2,O
Hypertensive,3,B-Disease
patients,3,O
with,3,O
psychiatric,3,B-Disease
histories,3,O
had,3,O
a,3,O
higher,3,O
prevalence,3,O
of,3,O
depression,3,B-Disease
than,3,O
the,3,O
comparison,3,O
patients,3,O
.,3,O
This,4,O
was,4,O
accounted,4,O
for,4,O
by,4,O
a,4,O
significant,4,O
number,4,O
of,4,O
depressions,4,B-Disease
occurring,4,O
in,4,O
methyl,4,B-Chemical
dopa,4,I-Chemical
treated,4,O
patients,4,O
with,4,O
psychiatric,4,B-Disease
histories,4,O
.,4,O
Pharmacokinetic,5,O
and,5,O
clinical,5,O
studies,5,O
in,5,O
patients,5,O
with,5,O
cimetidine-associated,5,B-Chemical
mental,5,O
confusion,5,B-Disease
.,5,O
15,6,O
cases,6,O
of,6,O
cimetidine-associated,6,B-Chemical
mental,6,O
confusion,6,B-Disease
have,6,O
been,6,O
reported,6,O
.,6,O
In,7,O
order,7,O
that,7,O
this,7,O
syndrome,7,O
might,7,O
be,7,O
investigated,7,O
changes,7,O
in,7,O
mental,7,O
status,7,O
(,7,O
M.S,7,O
.,7,O
),7,O
were,8,O
correlated,8,O
with,8,O
serum,8,O
concentrations,8,O
and,8,O
renal,8,O
and,8,O
hepatic,8,O
function,8,O
in,8,O
36,8,O
patients,8,O
",",8,O
30,8,O
patients,8,O
had,8,O
no,8,O
M.S,8,O
.,8,O
change,9,O
on,9,O
cimetidine,9,B-Chemical
and,9,O
6,9,O
had,9,O
moderate,9,O
to,9,O
severe,9,O
changes,9,O
.,9,O
These,10,O
6,10,O
patients,10,O
had,10,O
both,10,O
renal,10,O
and,10,O
liver,10,O
dysfunction,10,O
(,10,O
P,10,O
less,10,O
than,10,O
0.05,10,O
),10,O
",",10,O
as,10,O
well,10,O
as,10,O
cimetidine,10,B-Chemical
trough-concentrations,10,O
of,10,O
more,10,O
than,10,O
1.25,10,O
microgram/ml,10,O
(,10,O
P,10,O
less,10,O
than,10,O
0.05,10,O
),10,O
.,10,O
The,11,O
severity,11,O
of,11,O
M.S,11,O
.,11,O
changes,12,O
increased,12,O
as,12,O
trough-concentrations,12,O
rose,12,O
",",12,O
5,12,O
patients,12,O
had,12,O
lumbar,12,O
puncture,12,O
.,12,O
The,13,O
cerebrospinal,13,O
fluid,13,O
:,13,O
serum,13,O
ratio,13,O
of,13,O
cimetidine,13,B-Chemical
concentrations,13,O
was,13,O
0.24:1,13,O
and,13,O
indicates,13,O
that,13,O
cimetidine,13,B-Chemical
passes,13,O
the,13,O
blood-brain,13,O
barrier,13,O
;,13,O
it,13,O
also,13,O
raises,13,O
the,13,O
possibility,13,O
that,13,O
M.S,13,O
.,13,O
changes,14,O
are,14,O
due,14,O
to,14,O
blockade,14,O
of,14,O
histamine,14,B-Chemical
H2-receptors,14,O
in,14,O
the,14,O
central,14,O
nervous,14,O
system,14,O
.,14,O
Patients,15,O
likely,15,O
to,15,O
have,15,O
both,15,O
raised,15,O
trough-concentrations,15,O
and,15,O
mental,15,O
confusion,15,B-Disease
are,15,O
those,15,O
with,15,O
both,15,O
severe,15,O
renal,15,O
and,15,O
hepatic,15,O
dysfunction,15,O
.,15,O
They,16,O
should,16,O
be,16,O
closely,16,O
observed,16,O
and,16,O
should,16,O
be,16,O
given,16,O
reduced,16,O
doses,16,O
of,16,O
cimetidine,16,B-Chemical
.,16,O
Alpha,17,O
and,17,O
beta,17,O
coma,17,B-Disease
in,17,O
drug,17,O
intoxication,17,O
uncomplicated,17,O
by,17,O
cerebral,17,B-Disease
hypoxia,17,I-Disease
.,17,O
Four,18,O
patients,18,O
who,18,O
were,18,O
rendered,18,O
comatose,18,B-Disease
or,18,O
stuporous,18,B-Disease
by,18,O
drug,18,O
intoxication,18,O
",",18,O
but,18,O
who,18,O
were,18,O
not,18,O
hypoxic,18,O
",",18,O
are,18,O
described,18,O
.,18,O
Three,19,O
patients,19,O
received,19,O
high,19,O
doses,19,O
of,19,O
chlormethiazole,19,B-Chemical
for,19,O
alcohol,19,B-Chemical
withdrawal,19,B-Disease
symptoms,19,I-Disease
",",19,O
and,19,O
one,19,O
took,19,O
a,19,O
suicidal,19,O
overdose,19,B-Disease
of,19,O
nitrazepam,19,B-Chemical
.,19,O
The,20,O
patient,20,O
with,20,O
nitrazepam,20,B-Chemical
overdose,20,B-Disease
and,20,O
two,20,O
of,20,O
those,20,O
with,20,O
chlormethiazole,20,B-Chemical
intoxication,20,O
conformed,20,O
to,20,O
the,20,O
criteria,20,O
of,20,O
'alpha,20,O
coma,20,B-Disease
',20,O
",",20,O
showing,20,O
non-reactive,20,O
generalized,20,O
or,20,O
frontally,20,O
predominant,20,O
