words,sentence_id,labels
Selective,0,O
costimulation,0,O
modulators,0,O
:,0,O
a,0,O
novel,0,O
approach,0,O
for,0,O
the,0,O
treatment,0,O
of,0,O
rheumatoid,0,O
arthritis,0,O
.,0,O
T,1,O
cells,1,O
have,1,O
a,1,O
central,1,O
role,1,O
in,1,O
the,1,O
orchestration,1,O
of,1,O
the,1,O
immune,1,O
pathways,1,O
that,1,O
contribute,1,O
to,1,O
the,1,O
inflammation,1,O
and,1,O
joint,1,O
destruction,1,O
characteristic,1,O
of,1,O
rheumatoid,1,O
arthritis,1,O
(,1,O
RA,1,O
),1,O
.,1,O
The,2,O
requirement,2,O
for,2,O
a,2,O
dual,2,O
signal,2,O
for,2,O
T-cell,2,O
activation,2,O
and,2,O
the,2,O
construction,2,O
of,2,O
a,2,O
fusion,2,O
protein,2,O
that,2,O
prevents,2,O
engagement,2,O
of,2,O
the,2,O
costimulatory,2,O
molecules,2,O
required,2,O
for,2,O
this,2,O
activation,2,O
has,2,O
led,2,O
to,2,O
a,2,O
new,2,O
approach,2,O
to,2,O
RA,2,O
therapy,2,O
.,2,O
This,3,O
approach,3,O
is,3,O
mechanistically,3,O
distinct,3,O
from,3,O
other,3,O
currently,3,O
used,3,O
therapies,3,O
;,3,O
it,3,O
targets,3,O
events,3,O
early,3,O
rather,3,O
than,3,O
late,3,O
in,3,O
the,3,O
immune,3,O
cascade,3,O
",",3,O
and,3,O
it,3,O
results,3,O
in,3,O
immunomodulation,3,O
rather,3,O
than,3,O
complete,3,O
immunosuppression,3,O
.,3,O
The,4,O
fusion,4,O
protein,4,O
abatacept,4,O
is,4,O
a,4,O
selective,4,O
costimulation,4,O
modulator,4,O
that,4,O
avidly,4,O
binds,4,O
to,4,O
the,4,O
CD80/CD86,4,B-GENE-Y
ligands,4,O
on,4,O
an,4,O
antigen-presenting,4,O
cell,4,O
",",4,O
resulting,4,O
in,4,O
the,4,O
inability,4,O
of,4,O
these,4,O
ligands,4,O
to,4,O
engage,4,O
the,4,O
CD28,4,B-GENE-N
receptor,4,I-GENE-N
on,4,O
the,4,O
T,4,O
cell,4,O
.,4,O
Abatacept,5,O
dose-dependently,5,O
reduces,5,O
T-cell,5,O
proliferation,5,O
",",5,O
serum,5,O
concentrations,5,O
of,5,O
acute-phase,5,O
reactants,5,O
",",5,O
and,5,O
other,5,O
markers,5,O
of,5,O
inflammation,5,O
",",5,O
including,5,O
the,5,O
production,5,O
of,5,O
rheumatoid,5,O
factor,5,O
by,5,O
B,5,O
cells,5,O
.,5,O
Recent,6,O
studies,6,O
have,6,O
provided,6,O
consistent,6,O
evidence,6,O
that,6,O
treatment,6,O
with,6,O
abatacept,6,O
results,6,O
in,6,O
a,6,O
rapid,6,O
onset,6,O
of,6,O
efficacy,6,O
that,6,O
is,6,O
maintained,6,O
over,6,O
the,6,O
course,6,O
of,6,O
treatment,6,O
in,6,O
patients,6,O
with,6,O
inadequate,6,O
response,6,O
to,6,O
methotrexate,6,B-CHEMICAL
and,6,O
anti-tumor,6,O
necrosis,6,I-GENE-N
factor,6,I-GENE-N
therapies,6,O
.,6,O
This,7,O
efficacy,7,O
includes,7,O
patient-centered,7,O
outcomes,7,O
and,7,O
radiographic,7,O
measurement,7,O
of,7,O
disease,7,O
progression,7,O
.,7,O
Abatacept,8,O
has,8,O
also,8,O
demonstrated,8,O
a,8,O
very,8,O
favorable,8,O
safety,8,O
profile,8,O
to,8,O
date,8,O
.,8,O
This,9,O
article,9,O
reviews,9,O
the,9,O
rationale,9,O
for,9,O
this,9,O
therapeutic,9,O
approach,9,O
and,9,O
highlights,9,O
some,9,O
of,9,O
the,9,O
recent,9,O
studies,9,O
that,9,O
demonstrate,9,O
the,9,O
benefits,9,O
obtained,9,O
by,9,O
using,9,O
abatacept,9,O
.,9,O
This,10,O
clinical,10,O
experience,10,O
indicates,10,O
that,10,O
abatacept,10,O
is,10,O
a,10,O
significant,10,O
addition,10,O
to,10,O
the,10,O
therapeutic,10,O
armamentarium,10,O
for,10,O
the,10,O
management,10,O
of,10,O
patients,10,O
with,10,O
RA,10,O
.,10,O
Emerging,11,O
role,11,O
of,11,O
epidermal,11,B-GENE-Y
growth,11,I-GENE-Y
factor,11,I-GENE-Y
receptor,11,I-GENE-Y
inhibition,11,O
in,11,O
therapy,11,O
for,11,O
advanced,11,O
malignancy,11,O
:,11,O
focus,11,O
on,11,O
NSCLC,11,O
.,11,O
Combination,12,O
chemotherapy,12,O
regimens,12,O
have,12,O
emerged,12,O
as,12,O
the,12,O
standard,12,O
approach,12,O
in,12,O
advanced,12,O
non-small-cell,12,O
lung,12,O
cancer,12,O
.,12,O
Meta-analyses,13,O
have,13,O
demonstrated,13,O
a,13,O
2-month,13,O
increase,13,O
in,13,O
median,13,O
survival,13,O
after,13,O
platinum-based,13,B-CHEMICAL
therapy,13,O
vs.,13,O
best,13,O
supportive,13,O
care,13,O
",",13,O
and,13,O
an,13,O
absolute,13,O
10,13,O
%,13,O
improvement,13,O
in,13,O
the,13,O
1-year,13,O
survival,13,O
rate,13,O
.,13,O
Just,14,O
as,14,O
importantly,14,O
",",14,O
cytotoxic,14,O
therapy,14,O
has,14,O
produced,14,O
benefits,14,O
in,14,O
symptom,14,O
control,14,O
and,14,O
quality,14,O
of,14,O
life,14,O
.,14,O
Newer,15,O
agents,15,O
",",15,O
including,15,O
the,15,O
taxanes,15,B-CHEMICAL
",",15,O
vinorelbine,15,B-CHEMICAL
",",15,O
gemcitabine,15,B-CHEMICAL
",",15,O
and,15,O
irinotecan,15,B-CHEMICAL
",",15,O
have,15,O
expanded,15,O
our,15,O
therapeutic,15,O
options,15,O
in,15,O
the,15,O
treatment,15,O
