words,sentence_id,labels
Glucose,0,O
6-phosphate,0,O
dehydrogenase,0,O
variants,0,O
:,0,O
Gd,0,O
(,0,O
+,0,O
),0,O
Alexandra,0,O
associated,0,O
with,0,O
neonatal,0,B-SpecificDisease
jaundice,0,I-SpecificDisease
and,0,O
Gd,0,O
(,0,O
-,0,O
),0,O
Camperdown,0,O
in,0,O
a,0,O
young,0,O
man,0,O
with,0,O
lamellar,0,O
cataracts,0,O
.,0,O
Two,1,O
male,1,O
subjects,1,O
are,1,O
described,1,O
",",1,O
with,1,O
unusual,1,O
clinical,1,O
presentations,1,O
and,1,O
with,1,O
hitherto,1,O
undescribed,1,O
G6PD,1,O
variants,1,O
.,1,O
The,2,O
first,2,O
",",2,O
of,2,O
Italian,2,O
extraction,2,O
",",2,O
suffered,2,O
from,2,O
severe,2,O
neonatal,2,B-SpecificDisease
jaundice,2,I-SpecificDisease
following,2,O
maternal,2,O
ingestion,2,O
of,2,O
fresh,2,O
broad,2,O
beans,2,O
(,2,O
Vicia,2,O
fava,2,O
),2,O
both,2,O
prenatally,2,O
and,2,O
postnatally,2,O
the,2,O
expression,2,O
of,2,O
the,2,O
enzymatic,2,O
defect,2,O
was,2,O
much,2,O
more,2,O
severe,2,O
in,2,O
the,2,O
neonatal,2,O
period,2,O
than,2,O
on,2,O
retesting,2,O
in,2,O
adolescence,2,O
",",2,O
when,2,O
biochemical,2,O
characterization,2,O
showed,2,O
unique,2,O
features,2,O
which,2,O
justify,2,O
designation,2,O
as,2,O
a,2,O
new,2,O
variant,2,O
Gd,2,O
(,2,O
+,2,O
),2,O
Alexandra,2,O
.,2,O
The,3,O
second,3,O
patient,3,O
",",3,O
a,3,O
boy,3,O
of,3,O
Maltese,3,O
extraction,3,O
who,3,O
was,3,O
found,3,O
to,3,O
have,3,O
bilateral,3,O
lamellar,3,O
cataracts,3,O
at,3,O
the,3,O
age,3,O
of,3,O
4,3,O
years,3,O
",",3,O
was,3,O
identified,3,O
as,3,O
G6PD,3,B-SpecificDisease
deficient,3,I-SpecificDisease
only,3,O
as,3,O
a,3,O
result,3,O
of,3,O
a,3,O
survey,3,O
of,3,O
children,3,O
of,3,O
Mediterranean,3,O
origin,3,O
with,3,O
unexplained,3,O
cataract,3,B-Modifier
formation,3,O
;,3,O
he,3,O
has,3,O
approximately,3,O
15,3,O
%,3,O
of,3,O
normal,3,O
enzyme,3,O
activity,3,O
",",3,O
with,3,O
another,3,O
unique,3,O
combination,3,O
of,3,O
biochemical,3,O
characteristics,3,O
which,3,O
has,3,O
led,3,O
to,3,O
its,3,O
designation,3,O
as,3,O
Gd,3,O
(,3,O
-,3,O
),3,O
Camperdown,3,O
.,3,O
Although,4,O
this,4,O
association,4,O
may,4,O
be,4,O
coincidental,4,O
",",4,O
it,4,O
prompts,4,O
further,4,O
attention,4,O
to,4,O
the,4,O
possibility,4,O
that,4,O
under,4,O
certain,4,O
circumstances,4,O
G6PD,4,B-SpecificDisease
deficiency,4,I-SpecificDisease
may,4,O
favor,4,O
cataract,4,B-Modifier
formation,4,O
.,4,O
The,5,O
two,5,O
cases,5,O
illustrate,5,O
the,5,O
value,5,O
of,5,O
characterization,5,O
of,5,O
the,5,O
mutant,5,O
enzyme,5,O
whenever,5,O
unexpected,5,O
clinical,5,O
or,5,O
laboratory,5,O
results,5,O
are,5,O
obtained,5,O
..,5,O
Familial,6,B-SpecificDisease
deficiency,6,I-SpecificDisease
of,6,I-SpecificDisease
the,6,I-SpecificDisease
seventh,6,I-SpecificDisease
component,6,I-SpecificDisease
of,6,I-SpecificDisease
complement,6,I-SpecificDisease
associated,6,O
with,6,O
recurrent,6,O
bacteremic,6,B-DiseaseClass
infections,6,I-DiseaseClass
due,6,I-DiseaseClass
to,6,I-DiseaseClass
Neisseria,6,I-DiseaseClass
.,6,O
The,7,O
serum,7,O
of,7,O
a,7,O
29-year,7,O
old,7,O
woman,7,O
with,7,O
a,7,O
recent,7,O
episode,7,O
of,7,O
disseminated,7,B-SpecificDisease
gonococcal,7,I-SpecificDisease
infection,7,I-SpecificDisease
and,7,O
a,7,O
history,7,O
of,7,O
meningococcal,7,B-SpecificDisease
meningitis,7,I-SpecificDisease
and,7,O
arthritis,7,B-DiseaseClass
as,7,O
a,7,O
child,7,O
was,7,O
found,7,O
to,7,O
lack,7,O
serum,7,O
hemolytic,7,O
complement,7,O
activity,7,O
.,7,O
The,8,O
seventh,8,O
component,8,O
of,8,O
complement,8,O
(,8,O
C7,8,O
),8,O
was,8,O
not,8,O
detected,8,O
by,8,O
functional,8,O
or,8,O
immunochemical,8,O
assays,8,O
",",8,O
whereas,8,O
other,8,O
components,8,O
were,8,O
normal,8,O
by,8,O
hemolytic,8,O
and,8,O
immunochemical,8,O
assessment,8,O
.,8,O
Her,9,O
fresh,9,O
serum,9,O
lacked,9,O
complement-mediated,9,O
bactericidal,9,O
activity,9,O
against,9,O
Neisseria,9,O
gonorrhoeae,9,O
",",9,O
but,9,O
the,9,O
addition,9,O
of,9,O
fresh,9,O
normal,9,O
serum,9,O
or,9,O
purified,9,O
C7,9,O
restored,9,O
bactericidal,9,O
activity,9,O
as,9,O
well,9,O
as,9,O
hemolytic,9,O
activity,9,O
.,9,O
The,10,O
absence,10,B-Modifier
of,10,I-Modifier
functional,10,I-Modifier
C7,10,I-Modifier
activity,10,O
could,10,O
not,10,O
be,10,O
accounted,10,O
for,10,O
on,10,O
the,10,O
basis,10,O
of,10,O
an,10,O
inhibitor,10,O
.,10,O
Opsonization,11,O
and,11,O
generation,11,O
of,11,O
chemotactic,11,O
activity,11,O
functioned,11,O
normally,11,O
.,11,O
Complete,12,B-SpecificDisease
absence,12,I-SpecificDisease
of,12,I-SpecificDisease
C7,12,I-SpecificDisease
was,12,O
also,12,O
found,12,O
in,12,O
one,12,O
sibling,12,O
who,12,O
had,12,O
the,12,O
clinical,12,O
syndrome,12,O
of,12,O
meningococcal,12,B-SpecificDisease
meningitis,12,I-SpecificDisease
and,12,O
arthritis,12,B-DiseaseClass
as,12,O
a,12,O
child,12,O
and,12,O
in,12,O
this,12,O
siblings,12,O
clinically,12,O
well,12,O
eight-year-old,12,O
son,12,O
.,12,O
HLA,13,O
histocompatibility,13,O
typing,13,O
of,13,O
the,13,O
family,13,O
members,13,O
did,13,O
not,13,O
demonstrate,13,O
evidence,13,O
for,13,O
genetic,13,O
linkage,13,O
of,13,O
C7,13,B-SpecificDisease
deficiency,13,I-SpecificDisease
with,13,O
the,13,O
major,13,O
histocompatibility,13,O
loci,13,O
.,13,O
This,14,O
report,14,O
represents,14,O
the,14,O
first,14,O
cases,14,O
of,14,O
C7,14,B-SpecificDisease
deficiency,14,I-SpecificDisease
associated,14,O
with,14,O
infectious,14,O
complications,14,O
and,14,O
suggests,14,O
that,14,O
bactericidal,14,O
activity,14,O
may,14,O
be,14,O
important,14,O
in,14,O
host,14,O
defense,14,O
against,14,O
bacteremic,14,B-SpecificDisease
neisseria,14,I-SpecificDisease
infections,14,I-SpecificDisease
.,14,O
Combined,15,O
genetic,15,O
deficiency,15,O
of,15,O
C6,15,O
and,15,O
C7,15,O
in,15,O
man,15,O
.,15,O
By,16,O
routine,16,O
screening,16,O
of,16,O
sera,16,O
",",16,O
a,16,O
subject,16,O
was,16,O
discovered,16,O
who,16,O
showed,16,O
a,16,O
sub-total,16,O
deficiency,16,O
of,16,O
C6,16,O
and,16,O
C7,16,O
.,16,O
No,17,O
clinical,17,O
disease,17,O
was,17,O
associated,17,O
with,17,O
this,17,O
deficiency,17,O
which,17,O
was,17,O
transmitted,17,O
through,17,O
the,17,O
subjects,17,O
family,17,O
as,17,O
a,17,O
single,17,O
genetic,17,O
characteristic,17,O
",",17,O
the,17,O
C6,17,B-SpecificDisease
deficiency,17,I-SpecificDisease
being,17,O
associated,17,O
with,17,O
a,17,O
silent,17,O
allele,17,O
at,17,O
the,17,O
structural,17,O
locus,17,O
.,17,O
The,18,O
propositus,18,O
was,18,O
found,18,O
